date_GMT,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,home_team_yellow_cards,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_fouls,away_team_fouls
Jun 02 2018 - 6:15pm,Montenegro,Slovenia,0,2,2,53,47,5,4,0,3,0,10,8,11,19
Jun 02 2018 - 6:45pm,Belgium,Portugal,0,0,0,47,53,5,4,0,1,0,10,13,13,11
Jun 02 2018 - 7:08pm,Republic of Ireland,USMNT,2,1,0,57,43,4,5,0,3,0,12,12,7,14
Jun 02 2018 - 8:00pm,Iceland,Norway,2,3,1,46,54,3,5,0,1,0,9,8,13,11
Jun 03 2018 - 12:00am,Mexico,Scotland,1,0,0,63,37,12,4,0,0,0,33,4,9,8
Jun 03 2018 - 12:00am,Honduras,El Salvador,0,1,1,50,50,5,5,0,3,0,13,8,-1,-1
Jun 03 2018 - 2:00pm,Albania,Ukraine,1,4,0,38,62,4,7,0,0,0,12,18,10,6
Jun 03 2018 - 2:00pm,Brazil,Croatia,2,0,1,50,50,5,3,0,3,0,18,5,12,14
Jun 03 2018 - 3:00pm,Andorra,Cape Verde Islands,0,0,4,27,73,2,6,0,1,0,6,11,20,12
Jun 03 2018 - 5:00pm,Costa Rica,Northern Ireland,3,0,0,58,42,4,2,0,0,0,11,3,10,10
Jun 03 2018 - 6:00pm,Saudi Arabia,Peru,0,3,1,50,50,2,8,0,2,0,9,17,13,12
Jun 03 2018 - 7:00pm,Spain,Switzerland,1,1,1,65,35,5,2,0,1,0,18,6,12,11
Jun 04 2018 - 3:00pm,Armenia,Moldova,0,0,0,50,50,5,3,0,0,0,9,9,15,14
Jun 04 2018 - 6:00pm,Morocco,Slovakia,2,1,2,60,40,8,2,0,1,0,20,7,14,10
Jun 04 2018 - 6:00pm,Serbia,Chile,0,1,2,51,49,6,4,0,1,0,12,11,13,15
Jun 04 2018 - 6:45pm,Italy,Netherlands,1,1,2,44,56,5,6,1,3,0,10,13,8,12
Jun 05 2018 - 2:00pm,Kazakhstan,Azerbaijan,3,0,2,48,52,5,0,0,1,0,14,4,18,9
Jun 05 2018 - 4:00pm,Russia,Turkey,1,1,2,44,56,2,3,0,3,0,8,10,15,17
Jun 05 2018 - 5:30pm,Romania,Finland,2,0,3,41,59,7,3,0,1,0,13,11,15,13
Jun 05 2018 - 6:00pm,Luxembourg,Georgia,1,0,1,44,56,4,5,0,0,0,7,12,19,16
Jun 06 2018 - 1:00pm,Nigeria,Czech Republic,0,1,0,56,44,3,4,0,0,0,7,9,9,25
Jun 06 2018 - 5:00pm,Norway,Panama,1,0,1,40,60,3,3,0,2,0,6,10,20,12
Jun 06 2018 - 5:00pm,Belarus,Hungary,1,1,1,55,45,6,4,0,2,0,15,6,18,10
Jun 06 2018 - 6:45pm,Belgium,Egypt,3,0,0,60,40,11,4,0,3,0,21,8,8,7
Jun 07 2018 - 12:10pm,South Korea,Bolivia,0,0,0,57,43,5,0,0,0,0,9,4,17,8
Jun 07 2018 - 7:00pm,England,Costa Rica,2,0,0,66,34,7,4,0,2,0,11,10,6,14
Jun 07 2018 - 7:15pm,Portugal,Algeria,3,0,0,55,45,7,3,0,2,0,19,8,16,6
Jun 07 2018 - 8:00pm,Iceland,Ghana,2,2,1,41,59,5,6,0,2,0,7,9,10,14
Jun 07 2018 - 11:10pm,Uruguay,Uzbekistan,3,0,1,55,45,7,3,0,2,1,12,3,10,8
Jun 08 2018 - 4:00pm,Croatia,Senegal,2,1,1,64,36,4,3,0,5,0,12,11,11,18
Jun 08 2018 - 5:00pm,Switzerland,Japan,2,0,1,57,43,3,6,0,2,0,12,10,14,16
Jun 08 2018 - 5:30pm,Germany,Saudi Arabia,2,1,0,58,42,8,4,0,1,0,18,12,12,8
Jun 08 2018 - 6:45pm,Poland,Chile,2,2,0,44,56,7,6,0,2,0,10,10,7,18
Jun 09 2018 - 3:00pm,Latvia,Azerbaijan,1,3,2,40,60,6,7,0,1,0,8,13,16,16
Jun 09 2018 - 3:30pm,Hungary,Australia,1,2,2,46,54,5,3,0,2,0,14,11,7,16
Jun 09 2018 - 4:00pm,Finland,Belarus,2,0,0,50,50,11,3,0,2,0,17,7,-1,-1
Jun 09 2018 - 4:00pm,Estonia,Morocco,1,3,2,39,61,5,11,0,1,0,11,18,13,11
Jun 09 2018 - 4:00pm,Serbia,Bolivia,5,1,1,60,40,11,2,0,1,0,24,7,14,16
Jun 09 2018 - 5:15pm,Sweden,Peru,0,0,0,46,54,3,3,0,1,0,7,9,12,16
Jun 09 2018 - 6:00pm,Denmark,Mexico,2,0,0,44,56,4,5,0,1,0,12,15,17,11
Jun 09 2018 - 6:35pm,Israel,Argentina,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jun 09 2018 - 6:45pm,Tunisia,Spain,0,1,2,33,67,3,3,0,1,0,6,5,19,11
Jun 09 2018 - 7:00pm,France,USMNT,1,1,0,72,28,9,3,0,2,0,21,4,4,14
